Polarization of Light 'Brewsters' Data File Tue, Feb 07, 2023 11:33 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.00865
180.00000	0.01074
180.00000	0.00784
180.00000	0.01074
180.00000	0.01493
180.00000	0.01203
180.00000	0.01026
180.00000	0.01251
180.00000	0.00591
180.00000	0.00961
180.00000	0.01010
180.00000	0.00897
180.00000	0.01316
180.00000	0.00977
180.00000	0.00881
180.00000	0.00768
180.00000	0.00639
180.00000	0.01026
180.00000	0.01074
180.00000	0.00832
180.00000	0.00720
180.00000	0.00897
180.00000	0.01058
180.00000	0.01493
180.00000	0.00865
180.00000	0.01171
180.00000	0.00220
180.00000	0.00462
180.00000	0.00446
180.00000	0.00430
180.00000	0.00784
180.00000	0.01718
180.00000	0.00881
180.00000	0.01364
180.00000	0.01171
180.00000	0.00688
180.00000	0.01284
180.00000	0.00865
180.00000	0.00688
180.00000	0.01058
179.98333	0.00188
179.98333	0.00510
179.98333	0.01316
179.98333	0.03184
179.98333	0.02782
179.98333	0.03410
179.98333	0.04054
179.98333	0.03458
179.98333	0.02991
179.98333	0.03168
179.98333	0.02508
179.98333	0.03104
179.98333	0.03072
179.96667	0.03281
179.96667	0.02959
179.96667	0.03265
179.95000	0.02782
179.95000	0.02331
179.95000	0.00478
179.95000	0.00269
179.95000	0.00220
179.90000	0.01235
179.66667	0.03184
179.33333	0.03394
179.20000	0.03265
179.11667	0.02814
179.10000	0.03506
179.05000	0.03200
178.93333	0.03378
178.83333	0.03249
178.68333	0.03039
178.60000	0.03394
178.51667	0.03136
178.45000	0.03555
178.35000	0.03313
178.23333	0.03571
178.10000	0.03474
177.95000	0.03184
177.76667	0.03361
177.58333	0.03410
177.40000	0.03088
177.23333	0.03055
177.06667	0.03200
176.90000	0.03104
176.76667	0.03345
176.65000	0.03152
176.53333	0.03168
176.41667	0.03249
176.30000	0.03345
176.16667	0.02717
176.03333	0.03007
175.90000	0.03023
175.76667	0.03313
175.65000	0.02814
175.51667	0.03313
175.35000	0.02186
175.23333	0.01203
175.10000	0.00881
175.00000	0.01139
174.91667	0.00897
174.85000	0.01090
174.76667	0.01686
174.68333	0.01638
174.58333	0.02073
174.48333	0.01509
174.41667	0.01815
174.31667	0.02798
174.23333	0.01638
174.15000	0.01880
174.08333	0.01509
174.03333	0.01332
173.95000	0.00430
173.88333	0.00285
173.81667	0.00671
173.73333	0.00253
173.65000	0.00897
173.56667	0.01235
173.51667	0.01380
173.45000	0.01606
173.40000	0.01428
173.35000	0.01477
173.28333	0.01670
173.21667	0.01251
173.15000	0.01735
173.06667	0.01509
172.98333	0.01863
172.88333	0.01541
172.76667	0.01751
172.65000	0.01251
172.46667	0.01541
172.26667	0.00381
172.08333	-0.00070
171.90000	0.00945
171.71667	-0.00198
171.56667	0.00317
171.45000	0.00784
171.35000	0.00027
171.25000	0.00027
171.16667	0.03023
171.06667	0.01702
171.00000	0.01251
170.93333	0.01493
170.85000	0.01380
170.78333	0.01412
170.70000	0.01412
170.65000	0.01670
170.60000	0.01428
170.53333	0.01767
170.46667	0.01525
170.40000	0.01509
170.31667	0.01380
170.23333	0.01525
170.16667	0.01139
170.11667	0.01090
170.06667	0.01412
169.98333	0.01412
169.88333	0.01235
169.76667	0.01477
169.65000	0.01284
169.55000	0.01525
169.45000	0.00897
169.36667	0.00897
169.28333	0.00865
169.15000	0.01509
169.01667	0.01219
168.88333	0.01364
168.75000	0.01477
168.63333	0.01461
168.48333	0.01122
168.38333	0.01316
168.26667	0.01477
168.15000	0.01428
168.03333	0.01428
167.93333	0.01477
167.88333	0.01525
167.80000	0.01284
167.73333	0.01332
167.66667	0.01396
167.58333	0.00671
167.51667	0.00800
167.45000	0.00623
167.40000	0.00430
167.33333	0.00816
167.25000	0.00575
167.16667	0.01010
167.06667	0.00881
167.00000	0.00881
166.93333	0.01235
166.85000	0.00945
166.78333	0.01284
166.73333	0.00865
166.65000	0.01171
166.58333	0.01074
166.48333	0.01364
166.38333	0.01316
166.28333	0.01074
166.20000	0.00446
166.10000	0.00768
166.01667	0.00704
165.93333	0.00994
165.85000	0.00800
165.78333	0.01155
165.68333	0.00977
165.55000	0.00301
165.43333	0.00253
165.31667	0.00333
165.20000	0.00269
165.08333	0.00559
164.96667	0.00188
164.85000	0.00381
164.73333	0.00688
164.63333	0.00881
164.51667	0.00704
164.38333	0.00849
164.23333	0.00430
164.10000	0.01026
163.98333	0.01010
163.85000	0.01010
163.73333	0.00784
163.61667	0.00881
163.50000	0.00929
163.40000	0.00623
163.28333	0.00816
163.18333	0.00816
163.08333	0.01139
162.98333	0.00881
162.88333	0.00704
