Polarization of Light 'Brewsters' Data File Tue, Feb 07, 2023 11:12 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.00655
180.00000	0.01042
180.00000	0.00736
180.00000	0.00881
180.00000	0.02572
180.00000	0.00156
180.00000	0.00204
180.00000	0.00043
180.00000	0.00075
180.00000	0.00188
180.00000	0.00092
180.00000	0.00156
180.00000	0.00381
180.00000	0.02830
180.00000	0.02411
180.00000	0.02492
180.00000	0.02411
180.00000	0.03104
180.00000	0.02749
180.00000	0.02749
180.00000	0.03136
180.00000	0.03023
180.00000	0.02830
180.00000	0.02782
180.00000	0.02701
180.00000	0.03007
180.00000	0.02798
180.00000	0.02637
180.00000	0.02878
180.00000	0.02830
180.00000	0.02927
180.00000	0.03039
180.00000	0.02894
180.00000	0.03088
180.00000	0.02717
180.00000	0.03249
180.00000	0.02653
180.00000	0.02910
180.00000	0.02927
180.00000	0.02685
180.00000	0.02959
180.00000	0.02878
180.00000	0.03200
180.00000	0.03410
180.00000	0.02959
180.00000	0.03023
180.00000	0.03055
180.00000	0.02862
180.00000	0.03168
179.98333	0.03104
179.98333	0.03603
179.98333	0.03506
179.96667	0.03233
179.96667	0.03168
179.96667	0.02975
179.96667	0.02830
179.96667	0.02057
179.95000	0.00301
179.91667	0.00333
179.80000	0.00236
179.48333	0.01300
179.13333	0.03265
179.03333	0.03780
179.00000	0.02137
178.96667	0.02943
178.91667	0.03200
178.86667	0.03136
178.83333	0.02782
178.83333	0.02910
178.76667	0.03506
178.68333	0.03200
178.61667	0.02572
178.53333	0.02604
178.46667	0.00462
178.35000	0.00768
178.21667	0.00011
178.10000	0.00220
178.06667	0.00720
178.01667	0.02524
177.95000	0.03684
177.93333	0.03539
177.90000	0.03732
177.83333	0.03861
177.75000	0.03072
177.68333	0.02975
177.63333	0.03345
177.61667	0.03200
177.58333	0.03297
177.55000	0.03329
177.50000	0.03265
177.43333	0.03184
177.36667	0.03023
177.30000	0.03539
177.21667	0.03168
177.16667	0.03281
177.11667	0.02701
177.06667	0.02266
177.01667	0.03410
176.96667	0.03732
176.90000	0.03378
176.86667	0.03474
176.83333	0.03474
176.80000	0.03523
176.73333	0.03716
176.65000	0.03764
176.55000	0.02492
176.45000	0.02717
176.35000	0.03974
176.23333	0.03426
176.13333	0.02814
176.05000	0.02701
176.00000	0.04102
175.96667	0.04698
175.91667	0.04908
175.88333	0.04199
175.83333	0.04811
175.78333	0.04892
175.73333	0.03700
175.66667	0.04666
175.60000	0.05472
175.55000	0.05133
175.50000	0.05778
175.48333	0.05826
175.45000	0.05584
175.43333	0.05842
175.40000	0.05955
175.35000	0.06019
175.28333	0.06164
175.25000	0.05601
175.20000	0.05971
175.15000	0.05391
175.06667	0.03651
174.98333	0.03490
174.90000	0.04521
174.83333	0.03974
174.78333	0.03957
174.71667	0.04634
174.66667	0.05005
174.60000	0.05311
174.53333	0.05584
174.46667	0.05584
174.41667	0.06132
174.38333	0.06035
174.33333	0.06213
174.28333	0.06358
174.21667	0.06277
174.15000	0.06325
174.05000	0.06229
173.98333	0.06406
173.93333	0.06309
173.86667	0.05858
173.80000	0.06052
173.73333	0.05778
173.66667	0.06068
173.60000	0.05778
173.55000	0.05166
173.51667	0.05198
173.46667	0.05166
173.40000	0.05391
173.31667	0.05907
173.23333	0.05536
173.16667	0.05536
173.11667	0.05552
173.05000	0.05552
172.95000	0.05665
172.86667	0.05439
172.76667	0.05633
172.68333	0.05423
172.55000	0.05697
172.45000	0.05488
172.36667	0.05311
172.28333	0.05504
172.23333	0.05633
172.18333	0.05552
172.08333	0.05601
171.96667	0.05311
171.86667	0.05182
171.76667	0.05182
171.65000	0.04988
171.55000	0.05069
171.41667	0.04827
171.30000	0.04940
171.16667	0.05327
171.05000	0.04747
170.93333	0.05182
170.85000	0.05182
170.73333	0.04876
170.60000	0.05117
170.48333	0.05262
170.38333	0.05681
170.30000	0.05536
170.26667	0.05488
170.20000	0.05085
170.11667	0.05713
170.00000	0.05294
169.85000	0.05053
169.68333	0.05182
169.55000	0.05359
169.41667	0.05294
169.31667	0.04843
169.23333	0.04731
169.15000	0.04489
169.06667	0.03957
168.98333	0.03345
168.88333	0.03426
168.78333	0.03957
168.70000	0.04006
168.65000	0.04602
168.61667	0.04972
168.56667	0.04586
168.53333	0.05198
168.48333	0.04827
168.43333	0.05117
168.35000	0.05649
168.31667	0.05214
168.26667	0.04892
168.21667	0.05456
168.15000	0.05504
168.08333	0.05278
167.98333	0.05439
167.91667	0.05504
167.85000	0.05456
167.80000	0.05262
167.73333	0.05697
167.65000	0.05359
167.53333	0.05327
167.45000	0.05778
167.33333	0.05729
167.23333	0.05697
167.11667	0.05762
167.01667	0.05874
166.90000	0.05762
166.78333	0.05858
166.68333	0.05601
166.55000	0.04876
166.41667	0.05633
166.31667	0.05617
166.26667	0.05327
166.21667	0.05890
166.16667	0.06116
166.08333	0.05633
165.98333	0.05810
165.85000	0.06213
165.73333	0.05890
165.63333	0.06358
165.55000	0.06213
165.48333	0.06052
165.40000	0.06019
165.31667	0.06229
165.25000	0.06132
165.16667	0.06052
165.10000	0.06068
164.98333	0.06374
164.90000	0.06261
164.80000	0.06035
164.71667	0.06293
164.63333	0.06341
164.53333	0.06068
164.45000	0.07147
164.36667	0.06631
164.25000	0.06277
164.15000	0.06325
164.03333	0.06164
163.93333	0.06615
163.86667	0.06003
163.80000	0.06052
163.76667	0.06341
163.75000	0.06293
163.75000	0.06261
163.75000	0.06277
163.75000	0.05923
163.75000	0.05858
163.75000	0.06261
163.75000	0.06148
163.75000	0.06019
163.73333	0.06245
163.71667	0.06486
163.68333	0.06116
163.63333	0.06245
163.60000	0.06599
163.53333	0.06084
163.46667	0.06374
163.41667	0.06438
163.33333	0.06599
163.20000	0.07066
163.10000	0.06341
163.03333	0.05697
163.01667	0.05311
162.98333	0.05778
162.98333	0.05826
162.98333	0.05536
162.98333	0.06084
162.95000	0.06293
162.93333	0.05826
162.86667	0.06309
162.81667	0.06486
162.75000	0.06213
162.70000	0.06180
162.65000	0.06213
162.56667	0.06180
162.48333	0.06454
162.35000	0.06551
162.26667	0.06519
162.13333	0.06164
162.00000	0.06583
