Polarization of Light 'Brewsters' Data File Tue, Feb 07, 2023 11:06 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.01364
180.00000	0.01267
180.00000	0.01525
180.00000	0.01847
180.00000	0.01702
180.00000	0.01751
180.00000	0.01509
180.00000	0.01799
180.00000	0.01863
180.00000	0.01847
180.00000	0.02234
180.00000	0.01944
180.00000	0.02008
180.00000	0.01831
180.00000	0.02105
180.00000	0.01880
180.00000	0.01863
180.00000	0.01718
180.00000	0.01638
180.00000	0.01670
180.00000	0.01284
180.00000	0.01557
180.00000	0.01316
180.00000	0.01139
180.00000	0.01654
179.98333	0.01670
179.98333	0.01751
179.98333	0.01541
179.98333	0.01783
179.98333	0.01332
179.98333	0.01590
179.98333	0.01428
179.98333	0.01654
179.98333	0.01428
179.98333	0.01445
180.00000	0.01171
180.00000	0.01412
180.00000	0.01477
180.00000	0.01428
180.00000	0.01590
180.00000	0.01799
180.00000	0.01445
180.00000	0.02057
180.00000	0.01702
180.00000	0.01880
180.00000	0.01541
179.98333	0.01735
179.98333	0.01509
179.96667	0.01573
179.96667	0.01686
179.88333	0.02008
179.38333	0.01815
179.03333	0.01590
178.98333	0.01799
178.96667	0.01187
178.95000	0.01509
178.91667	0.01509
178.86667	0.02008
178.81667	0.01010
178.80000	0.00140
178.76667	0.00108
178.73333	0.00075
178.68333	0.00156
178.61667	0.00253
178.55000	0.00108
178.51667	0.00832
178.45000	0.00494
178.36667	0.01573
178.25000	0.01638
178.13333	0.01461
178.03333	0.01912
177.93333	0.01880
177.86667	0.02121
177.80000	0.01863
177.70000	0.02218
177.63333	0.01461
177.55000	0.01686
177.48333	0.01171
177.41667	0.01718
177.35000	0.01960
177.28333	0.01992
177.20000	0.01944
177.08333	0.01799
176.93333	0.01477
176.81667	0.01155
176.68333	0.02121
176.56667	0.01058
176.46667	0.01767
176.38333	0.01751
176.30000	0.01896
176.21667	0.02153
176.11667	0.01928
176.03333	0.02008
175.93333	0.02250
175.83333	0.01638
175.73333	0.01992
175.60000	0.02105
175.46667	0.01944
175.30000	0.02202
175.13333	0.02105
174.93333	0.01670
174.75000	0.00865
174.61667	0.00494
174.50000	0.01187
174.41667	0.01380
174.35000	0.01702
174.28333	0.01396
174.21667	0.01880
174.15000	0.01896
174.08333	0.02121
174.01667	0.02057
173.93333	0.02298
