Polarization of Light 'theta' Data File Tue, Feb 07, 2023 10:30 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.00897
0.00000	0.00720
0.00000	0.01074
0.00000	0.00897
0.00000	0.00945
0.00000	0.00849
0.00000	0.00945
0.00000	0.01042
0.00000	0.00977
0.00000	0.00623
0.00000	0.00929
0.00000	0.01010
0.00000	0.00929
0.00000	0.00768
0.00000	0.00881
0.00000	0.00849
0.00000	0.00929
0.00000	0.01219
0.00000	0.00784
0.00000	0.00849
0.00000	0.00897
0.00000	0.00720
0.00000	0.01026
0.00000	0.00720
0.00000	0.00865
0.00000	0.00832
0.00000	0.00849
0.00000	0.00929
0.00000	0.00768
0.00000	0.00832
0.00000	0.00655
0.00000	0.00945
0.00000	0.00929
0.00000	0.00832
0.00000	0.01074
0.00000	0.00688
0.00000	0.00816
0.00000	0.00849
0.00000	0.01074
0.00000	0.00913
0.00000	0.00897
0.00000	0.00881
0.00000	0.00897
0.00000	0.00623
0.00000	0.00994
0.00000	0.00736
0.00000	0.01090
0.00000	0.00800
0.00000	0.00768
0.00000	0.00784
0.00000	0.01026
0.00000	0.00720
0.00000	0.00929
0.00000	0.00994
0.00000	0.01058
0.00000	0.01026
0.00000	0.00832
0.00000	0.00849
0.00000	0.00752
0.00000	0.01090
0.00000	0.00655
0.00000	0.00977
0.00000	0.00816
0.00000	0.00961
0.00000	0.00929
0.00000	0.00784
0.00000	0.00832
0.00000	0.00784
0.00000	0.00832
0.00000	0.00994
0.00000	0.00607
0.00000	0.01106
0.00000	0.00945
0.00000	0.01074
0.00000	0.00704
0.00000	0.00865
0.00000	0.01155
0.00000	0.00736
0.00000	0.01010
0.00000	0.00913
0.00000	0.00768
0.00000	0.00961
0.00000	0.01074
0.00000	0.00575
0.00000	0.00994
0.00000	0.00784
0.00000	0.01026
0.00436	0.00655
0.00436	0.00784
0.00436	0.00913
0.00436	0.00865
0.00873	0.00623
0.00873	0.00543
0.01309	0.00575
0.01745	0.00526
0.02182	0.00430
0.02182	0.00430
0.02182	0.00301
0.02618	0.00655
0.02618	0.00543
0.02618	0.00655
0.02618	0.00301
0.03054	0.00510
0.03054	0.00301
0.03491	0.00253
0.03927	0.00075
0.04363	0.00011
0.04800	0.00124
0.05236	0.00059
0.05236	0.00317
0.05236	0.00075
0.05236	0.00204
0.05236	-0.00279
0.05672	0.00011
0.05672	0.00253
0.05672	-0.00134
0.05672	-0.00053
0.06109	-0.00231
0.06109	0.00075
0.06109	-0.00182
0.06109	-0.00021
0.06545	0.00043
0.06545	-0.00086
0.06545	0.00075
0.06545	-0.00134
0.06545	-0.00086
0.06981	-0.00231
0.06981	-0.00053
0.06981	-0.00150
0.06981	-0.00215
0.06981	-0.00247
0.06981	-0.00070
0.06981	-0.00102
0.06981	-0.00263
0.06981	-0.00134
0.06981	-0.00376
0.06981	-0.00005
0.07418	-0.00166
0.07418	-0.00327
0.07418	-0.00279
0.07418	-0.00118
0.07854	0.00043
0.07854	-0.00585
0.07854	0.00011
0.07854	-0.00376
0.07854	-0.00118
0.07854	-0.00343
0.08290	-0.00118
0.08290	-0.00537
0.08290	-0.00360
0.08290	-0.00360
0.08290	-0.00231
0.08290	-0.00360
0.08727	-0.00070
0.08727	-0.00408
0.08727	-0.00376
0.09163	-0.00166
0.09163	-0.00102
0.09163	-0.00360
0.09599	-0.00424
0.09599	-0.00617
0.09599	-0.00376
0.09599	-0.00182
0.09599	-0.00553
0.09599	-0.00376
0.10036	-0.00585
0.10036	-0.00182
0.10036	-0.00424
0.10036	-0.00649
0.10472	-0.00279
0.10472	-0.00633
0.10472	-0.00247
0.10472	-0.00521
0.10908	-0.00247
0.10908	-0.00762
0.10908	-0.00585
0.11345	-0.00875
0.11345	-0.00843
0.11345	-0.01020
0.11345	-0.00617
0.11345	-0.00730
0.11781	-0.00601
0.11781	-0.00778
0.11781	-0.00811
0.11781	-0.00553
0.11781	-0.00682
0.11781	-0.00859
0.11781	-0.00488
0.11781	-0.00988
0.11781	-0.00859
0.11781	-0.00601
0.11781	-0.00521
0.12217	-0.00746
0.12217	-0.00617
0.12217	-0.00617
0.12217	-0.00714
0.12654	-0.00488
0.12654	-0.00859
0.13090	-0.00988
0.13090	-0.00537
0.13090	-0.00617
0.13090	-0.00649
0.13526	-0.00746
0.13526	-0.00875
0.13526	-0.00891
0.13963	-0.00666
0.13963	-0.00859
0.14399	-0.00891
0.14399	-0.00794
0.14835	-0.00988
0.14835	-0.00859
0.14835	-0.01004
0.15272	-0.00891
0.15272	-0.00666
0.15272	-0.01004
0.15272	-0.00714
0.15272	-0.00617
0.15272	-0.00907
0.15708	-0.00762
0.15708	-0.00746
0.15708	-0.01068
0.15708	-0.00730
0.15708	-0.00827
0.16144	-0.01052
0.16144	-0.00972
0.16581	-0.00972
0.16581	-0.00891
0.16581	-0.00666
0.17017	-0.00569
0.17017	-0.00827
0.17453	-0.01149
0.17890	-0.00988
0.17890	-0.00859
0.17890	-0.01068
0.18326	-0.01133
